Date,Amount,Account Number,,Transaction Type,Transaction Details,Balance,Category,Merchant Name,Processed On
16 Dec 25,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE L6027260807,2414.25,Transfers out,,16 Dec 25
15 Dec 25,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE H3960542369,2914.25,Transfers out,,15 Dec 25
15 Dec 25,893.55,100200300,,INTER-BANK CREDIT,MC BBS190 5550001X MCARE BENEFITS JORDAN LEE,3214.25,Refund,Medicare,15 Dec 25
12 Dec 25,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE K1195201891,2320.70,Transfers out,,12 Dec 25
12 Dec 25,860.40,100200300,,INTER-BANK CREDIT,MC BBS256 5550001X MCARE BENEFITS JORDAN LEE,2620.70,Refund,Medicare,12 Dec 25
11 Dec 25,-5000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET M7022577125,1760.30,Transfers out,,11 Dec 25
11 Dec 25,1073.00,100200300,,TRANSFER CREDIT,ONLINE W0336535167 Linked Acc Trns LEE JL,6760.30,Internal transfers,,11 Dec 25
11 Dec 25,529.35,100200300,,INTER-BANK CREDIT,MC BBS969 5550001X MCARE BENEFITS JORDAN LEE,5687.30,Refund,Medicare,11 Dec 25
10 Dec 25,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE K8441192717,5157.95,Transfers out,,10 Dec 25
09 Dec 25,694.95,100200300,,INTER-BANK CREDIT,MC BBS017 5550001X MCARE BENEFITS JORDAN LEE,5457.95,Refund,Medicare,09 Dec 25
08 Dec 25,364.05,100200300,,INTER-BANK CREDIT,MC BBS594 5550001X MCARE BENEFITS JORDAN LEE,4763.00,Refund,Medicare,08 Dec 25
05 Dec 25,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE G2576025926,4398.95,Transfers out,,05 Dec 25
05 Dec 25,-100.00,100200300,,TRANSFER DEBIT,ONLINE P2309754826 Linked Acc Trns LEE JL,4898.95,Internal transfers,,05 Dec 25
05 Dec 25,82.70,100200300,,INTER-BANK CREDIT,DV BBE300 5550001X VTA BENEFITS JORDAN LEE,4998.95,Government payments,Department of Veterans' Affairs,05 Dec 25
05 Dec 25,694.80,100200300,,INTER-BANK CREDIT,MC BBS115 5550001X MCARE BENEFITS JORDAN LEE,4916.25,Refund,Medicare,05 Dec 25
04 Dec 25,694.65,100200300,,INTER-BANK CREDIT,MC BBS862 5550001X MCARE BENEFITS JORDAN LEE,4221.45,Refund,Medicare,04 Dec 25
03 Dec 25,526.40,100200300,,INTER-BANK CREDIT,MC BBS444 5550001X MCARE BENEFITS JORDAN LEE,3526.80,Refund,Medicare,03 Dec 25
02 Dec 25,-350.00,100200300,,TRANSFER DEBIT,JORDAN LEE M4709069132,3000.40,Transfers out,,02 Dec 25
02 Dec 25,-170.00,100200300,,TRANSFER DEBIT,JORDAN LEE V9744563785,3350.40,Transfers out,,02 Dec 25
02 Dec 25,-376.00,100200300,,MISCELLANEOUS DEBIT,V1234 30/11 AHPRA MELBOURNE 58447244781,3520.40,Medical,Australian Health Practitioner Regulation Agency (AHPRA),02 Dec 25
02 Dec 25,727.95,100200300,,INTER-BANK CREDIT,MC BBS141 5550001X MCARE BENEFITS JORDAN LEE,3896.40,Refund,Medicare,02 Dec 25
01 Dec 25,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE B5630158510,3168.45,Transfers out,,01 Dec 25
01 Dec 25,-3500.00,100200300,,TRANSFER DEBIT,ONLINE X1648877564 Linked Acc Trns LEE JL,3368.45,Internal transfers,,01 Dec 25
01 Dec 25,82.70,100200300,,INTER-BANK CREDIT,DV BBE916 5550001X VTA BENEFITS JORDAN LEE,6868.45,Government payments,Department of Veterans' Affairs,01 Dec 25
01 Dec 25,1086.10,100200300,,INTER-BANK CREDIT,MC BBS026 5550001X MCARE BENEFITS JORDAN LEE,6785.75,Refund,Medicare,01 Dec 25
28 Nov 25,496.80,100200300,,INTER-BANK CREDIT,MC BBS757 5550001X MCARE BENEFITS JORDAN LEE,5699.65,Refund,Medicare,28 Nov 25
27 Nov 25,496.35,100200300,,INTER-BANK CREDIT,MC BBS268 5550001X MCARE BENEFITS JORDAN LEE,5202.85,Refund,Medicare,27 Nov 25
26 Nov 25,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE W6852282145,4706.50,Transfers out,,26 Nov 25
25 Nov 25,-400.00,100200300,,TRANSFER DEBIT,JORDAN LEE T0325662294,5206.50,Transfers out,,25 Nov 25
25 Nov 25,161.65,100200300,,INTER-BANK CREDIT,DV BBE177 5550001X VTA BENEFITS JORDAN LEE,5606.50,Government payments,Department of Veterans' Affairs,25 Nov 25
25 Nov 25,661.65,100200300,,INTER-BANK CREDIT,MC BBS483 5550001X MCARE BENEFITS JORDAN LEE,5444.85,Refund,Medicare,25 Nov 25
24 Nov 25,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE V5838048455,4783.20,Transfers out,,24 Nov 25
24 Nov 25,1489.35,100200300,,INTER-BANK CREDIT,MC BBS394 5550001X MCARE BENEFITS JORDAN LEE,5083.20,Refund,Medicare,24 Nov 25
20 Nov 25,1218.55,100200300,,INTER-BANK CREDIT,MC BBS262 5550001X MCARE BENEFITS JORDAN LEE,3593.85,Refund,Medicare,20 Nov 25
17 Nov 25,-1000.00,100200300,,TRANSFER DEBIT,JORDAN LEE C4230209803,2375.30,Transfers out,,17 Nov 25
17 Nov 25,1025.70,100200300,,INTER-BANK CREDIT,MC BBS319 5550001X MCARE BENEFITS JORDAN LEE,3375.30,Refund,Medicare,17 Nov 25
14 Nov 25,694.65,100200300,,INTER-BANK CREDIT,MC BBS002 5550001X MCARE BENEFITS JORDAN LEE,2349.60,Refund,Medicare,14 Nov 25
13 Nov 25,82.70,100200300,,INTER-BANK CREDIT,DV BBE550 5550001X VTA BENEFITS JORDAN LEE,1654.95,Government payments,Department of Veterans' Affairs,13 Nov 25
13 Nov 25,331.05,100200300,,INTER-BANK CREDIT,MC BBS689 5550001X MCARE BENEFITS JORDAN LEE,1572.25,Refund,Medicare,13 Nov 25
12 Nov 25,595.50,100200300,,INTER-BANK CREDIT,MC BBS331 5550001X MCARE BENEFITS JORDAN LEE,1241.20,Refund,Medicare,12 Nov 25
11 Nov 25,-2000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET D7216276236,645.70,Transfers out,,11 Nov 25
11 Nov 25,2000.00,100200300,,TRANSFER CREDIT,J L LEEDeposit,2645.70,Transfers in,,11 Nov 25
11 Nov 25,628.65,100200300,,INTER-BANK CREDIT,MC BBS512 5550001X MCARE BENEFITS JORDAN LEE,645.70,Refund,Medicare,11 Nov 25
10 Nov 25,-2700.00,100200300,,TRANSFER DEBIT,JORDAN LEE H4796178989,17.05,Transfers out,,10 Nov 25
10 Nov 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE T2689291436,2717.05,Transfers out,,10 Nov 25
10 Nov 25,893.70,100200300,,INTER-BANK CREDIT,MC BBS966 5550001X MCARE BENEFITS JORDAN LEE,3145.18,Refund,Medicare,10 Nov 25
07 Nov 25,694.65,100200300,,INTER-BANK CREDIT,MC BBS997 5550001X MCARE BENEFITS JORDAN LEE,2251.48,Refund,Medicare,07 Nov 25
06 Nov 25,4000.00,100200300,,TRANSFER CREDIT,J L LEEDeposit,1556.83,Transfers in,,06 Nov 25
06 Nov 25,-3000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET L2375853695,-2443.17,Transfers out,,06 Nov 25
06 Nov 25,-2000.00,100200300,,TRANSFER DEBIT,JORDAN LEE T5933442487,556.83,Transfers out,,06 Nov 25
06 Nov 25,596.10,100200300,,INTER-BANK CREDIT,MC BBS521 5550001X MCARE BENEFITS JORDAN LEE,2556.83,Refund,Medicare,06 Nov 25
05 Nov 25,-4174.09,100200300,,TRANSFER DEBIT,ONLINE Q3043382692 OCT Rent LEE JL,1960.73,Internal transfers,,05 Nov 25
05 Nov 25,562.65,100200300,,INTER-BANK CREDIT,MC BBS940 5550001X MCARE BENEFITS JORDAN LEE,6134.82,Refund,Medicare,05 Nov 25
04 Nov 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE B6325417593,5572.17,Transfers out,,04 Nov 25
03 Nov 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE R3983906202 24102025,6000.30,Transfers out,,03 Nov 25
03 Nov 25,1287.50,100200300,,INTER-BANK CREDIT,MC BBS405 5550001X MCARE BENEFITS JORDAN LEE,6428.43,Refund,Medicare,03 Nov 25
31 Oct 25,41.45,100200300,,INTER-BANK CREDIT,DV BBE509 5550001X VTA BENEFITS JORDAN LEE,5140.93,Government payments,Department of Veterans' Affairs,31 Oct 25
31 Oct 25,592.55,100200300,,INTER-BANK CREDIT,MC BBS774 5550001X MCARE BENEFITS JORDAN LEE,5099.48,Refund,Medicare,31 Oct 25
29 Oct 25,41.45,100200300,,INTER-BANK CREDIT,DV BBE594 5550001X VTA BENEFITS JORDAN LEE,4506.93,Government payments,Department of Veterans' Affairs,29 Oct 25
29 Oct 25,625.85,100200300,,INTER-BANK CREDIT,MC BBS828 5550001X MCARE BENEFITS JORDAN LEE,4465.48,Refund,Medicare,29 Oct 25
28 Oct 25,82.70,100200300,,INTER-BANK CREDIT,DV BBE456 5550001X VTA BENEFITS JORDAN LEE,3839.63,Government payments,Department of Veterans' Affairs,28 Oct 25
28 Oct 25,559.70,100200300,,INTER-BANK CREDIT,MC BBS376 5550001X MCARE BENEFITS JORDAN LEE,3756.93,Refund,Medicare,28 Oct 25
27 Oct 25,-559.78,100200300,,TRANSFER DEBIT,JORDAN LEE D2371706805 23102025,3197.23,Transfers out,,27 Oct 25
27 Oct 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE Z9986266394 20102025,3757.01,Transfers out,,27 Oct 25
27 Oct 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE J1593628862 21102025,4185.14,Transfers out,,27 Oct 25
27 Oct 25,-419.47,100200300,,TRANSFER DEBIT,JORDAN LEE Z8295738115 18102025,4613.27,Transfers out,,27 Oct 25
27 Oct 25,728.10,100200300,,INTER-BANK CREDIT,MC BBS533 5550001X MCARE BENEFITS JORDAN LEE,5032.74,Refund,Medicare,27 Oct 25
24 Oct 25,1387.10,100200300,,INTER-BANK CREDIT,MC BBS685 5550001X MCARE BENEFITS JORDAN LEE,4304.64,Refund,Medicare,24 Oct 25
21 Oct 25,-594.10,100200300,,TRANSFER DEBIT,JORDAN LEE P1198848378 16102025,2917.54,Transfers out,,21 Oct 25
21 Oct 25,-433.77,100200300,,TRANSFER DEBIT,JORDAN LEE T3621022644 17102025,3511.64,Transfers out,,21 Oct 25
21 Oct 25,827.25,100200300,,INTER-BANK CREDIT,MC BBS418 5550001X MCARE BENEFITS JORDAN LEE,3945.41,Refund,Medicare,21 Oct 25
20 Oct 25,1262.70,100200300,,INTER-BANK CREDIT,MC BBS246 5550001X MCARE BENEFITS JORDAN LEE,3118.16,Refund,Medicare,20 Oct 25
17 Oct 25,-2806.70,100200300,,TRANSFER DEBIT,ONLINE G0319604431 Linked Acc Trns LEE JL,1855.46,Internal transfers,,17 Oct 25
17 Oct 25,959.55,100200300,,INTER-BANK CREDIT,MC BBS311 5550001X MCARE BENEFITS JORDAN LEE,4662.16,Refund,Medicare,17 Oct 25
15 Oct 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE Y6561293731 13102025,3702.61,Transfers out,,15 Oct 25
15 Oct 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE F4944474270 12102025,4130.74,Transfers out,,15 Oct 25
15 Oct 25,1290.60,100200300,,INTER-BANK CREDIT,MC BBS326 5550001X MCARE BENEFITS JORDAN LEE,4558.87,Refund,Medicare,15 Oct 25
13 Oct 25,-427.09,100200300,,TRANSFER DEBIT,JORDAN LEE K7481249676,3268.27,Transfers out,,13 Oct 25
13 Oct 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE S5501759341 10102025,3695.36,Transfers out,,13 Oct 25
13 Oct 25,-338.00,100200300,,TRANSFER DEBIT,JORDAN LEE Y8282518410 08102025,4123.49,Transfers out,,13 Oct 25
13 Oct 25,41.45,100200300,,INTER-BANK CREDIT,DV BBE499 5550001X VTA BENEFITS JORDAN LEE,4461.49,Government payments,Department of Veterans' Affairs,13 Oct 25
13 Oct 25,1191.30,100200300,,INTER-BANK CREDIT,MC BBS544 5550001X MCARE BENEFITS JORDAN LEE,4420.04,Refund,Medicare,13 Oct 25
09 Oct 25,427.25,100200300,,INTER-BANK CREDIT,MC BBS122 5550001X MCARE BENEFITS JORDAN LEE,3228.74,Refund,Medicare,09 Oct 25
08 Oct 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE F1318296035 07102025,2801.49,Transfers out,,08 Oct 25
08 Oct 25,559.70,100200300,,INTER-BANK CREDIT,MC BBS499 5550001X MCARE BENEFITS JORDAN LEE,3229.62,Refund,Medicare,08 Oct 25
07 Oct 25,-555.97,100200300,,TRANSFER DEBIT,JORDAN LEE M5315099613 02102025,2669.92,Transfers out,,07 Oct 25
07 Oct 25,-394.33,100200300,,TRANSFER DEBIT,JORDAN LEE G2148707097 01102025,3225.89,Transfers out,,07 Oct 25
07 Oct 25,-228.80,100200300,,TRANSFER DEBIT,JORDAN LEE L8983768149 04102025,3620.22,Transfers out,,07 Oct 25
06 Oct 25,264.75,100200300,,INTER-BANK CREDIT,MC BBS403 5550001X MCARE BENEFITS JORDAN LEE,3849.02,Refund,Medicare,06 Oct 25
03 Oct 25,728.10,100200300,,INTER-BANK CREDIT,MC BBS993 5550001X MCARE BENEFITS JORDAN LEE,3584.27,Refund,Medicare,03 Oct 25
02 Oct 25,628.65,100200300,,INTER-BANK CREDIT,MC BBS298 5550001X MCARE BENEFITS JORDAN LEE,2856.17,Refund,Medicare,02 Oct 25
01 Oct 25,41.45,100200300,,INTER-BANK CREDIT,DV BBE128 5550001X VTA BENEFITS JORDAN LEE,2227.52,Government payments,Department of Veterans' Affairs,01 Oct 25
01 Oct 25,661.65,100200300,,INTER-BANK CREDIT,MC BBS905 5550001X MCARE BENEFITS JORDAN LEE,2186.07,Refund,Medicare,01 Oct 25
30 Sep 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE D7209565581 26092025,1524.42,Transfers out,,30 Sep 25
30 Sep 25,-428.13,100200300,,TRANSFER DEBIT,JORDAN LEE B8190513952 29092025,1952.55,Transfers out,,30 Sep 25
30 Sep 25,-228.80,100200300,,TRANSFER DEBIT,JORDAN LEE P2709763570 27092025,2380.68,Transfers out,,30 Sep 25
30 Sep 25,658.70,100200300,,INTER-BANK CREDIT,MC BBS773 5550001X MCARE BENEFITS JORDAN LEE,2609.48,Refund,Medicare,30 Sep 25
29 Sep 25,923.45,100200300,,INTER-BANK CREDIT,MC BBS194 5550001X MCARE BENEFITS JORDAN LEE,1950.78,Refund,Medicare,29 Sep 25
26 Sep 25,-575.03,100200300,,TRANSFER DEBIT,JORDAN LEE N1356078425 2592025,1027.33,Transfers out,,26 Sep 25
26 Sep 25,82.70,100200300,,INTER-BANK CREDIT,DV BBE649 5550001X VTA BENEFITS JORDAN LEE,1602.36,Government payments,Department of Veterans' Affairs,26 Sep 25
26 Sep 25,794.25,100200300,,INTER-BANK CREDIT,MC BBS413 5550001X MCARE BENEFITS JORDAN LEE,1519.66,Refund,Medicare,26 Sep 25
25 Sep 25,-228.13,100200300,,TRANSFER DEBIT,JORDAN LEE E6756258995 230925,725.41,Transfers out,,25 Sep 25
24 Sep 25,-199.00,100200300,,TRANSFER DEBIT,JORDAN LEE G5915979985 airfryer,953.54,Transfers out,,24 Sep 25
24 Sep 25,725.15,100200300,,INTER-BANK CREDIT,MC BBS370 5550001X MCARE BENEFITS JORDAN LEE,1152.54,Refund,Medicare,24 Sep 25
23 Sep 25,-422.49,100200300,,TRANSFER DEBIT,JORDAN LEEM0867572364220925,427.39,Transfers out,,23 Sep 25
23 Sep 25,761.25,100200300,,INTER-BANK CREDIT,MC BBS340 5550001X MCARE BENEFITS JORDAN LEE,849.88,Refund,Medicare,23 Sep 25
18 Sep 25,-3000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET F5940476641 Offset,88.63,Transfers out,,18 Sep 25
18 Sep 25,1237.00,100200300,,TRANSFER CREDIT,ONLINE Z5474955323 Linked Acc Trns LEE JL,3088.63,Internal transfers,,18 Sep 25
18 Sep 25,500.00,100200300,,TRANSFER CREDIT,ONLINE F4531470960 Linked Acc Trns LEE JL,1851.63,Internal transfers,,18 Sep 25
10 Sep 25,-76.12,100200300,,MISCELLANEOUS DEBIT,V1234 08/09 AMPOL WAGGA WAG 32075F WAGGA WAGG 63492900108,1351.63,Fuel,Ampol Foodary (Northend Wagga Wagga),10 Sep 25
08 Sep 25,-1000.00,100200300,,TRANSFER DEBIT,JORDAN LEE N5079680935,1427.75,Transfers out,,08 Sep 25
08 Sep 25,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE T1873447801,2427.75,Transfers out,,08 Sep 25
08 Sep 25,562.50,100200300,,INTER-BANK CREDIT,MC BBS449 5550001X MCARE BENEFITS JORDAN LEE,2627.75,Refund,Medicare,08 Sep 25
05 Sep 25,-1000.00,100200300,,TRANSFER DEBIT,JORDAN LEE Y5872117001,2065.25,Transfers out,,05 Sep 25
05 Sep 25,124.15,100200300,,INTER-BANK CREDIT,DV BBE151 5550001X VTA BENEFITS JORDAN LEE,3065.25,Government payments,Department of Veterans' Affairs,05 Sep 25
05 Sep 25,794.10,100200300,,INTER-BANK CREDIT,MC BBS683 5550001X MCARE BENEFITS JORDAN LEE,2941.10,Refund,Medicare,05 Sep 25
03 Sep 25,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE V0660513239,2147.00,Transfers out,,03 Sep 25
03 Sep 25,628.80,100200300,,INTER-BANK CREDIT,MC BBS642 5550001X MCARE BENEFITS JORDAN LEE,2447.00,Refund,Medicare,03 Sep 25
02 Sep 25,789.60,100200300,,INTER-BANK CREDIT,MC BBS375 5550001X MCARE BENEFITS JORDAN LEE,1818.20,Refund,Medicare,02 Sep 25
01 Sep 25,-1070.00,100200300,,TRANSFER DEBIT,JORDAN LEE C8280000552 Optometry Australia,1028.60,Transfers out,,01 Sep 25
01 Sep 25,-1070.00,100200300,,TRANSFER DEBIT,OVSA D5709082144 M719084,2098.60,Transfers out,,01 Sep 25
01 Sep 25,1070.00,100200300,,TRANSFER CREDIT,"J L LEEOA members Ship, sen",3168.60,Transfers in,,01 Sep 25
01 Sep 25,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE R7331819224,2098.60,Transfers out,,01 Sep 25
01 Sep 25,1000.00,100200300,,TRANSFER CREDIT,ONLINE R3936178337 Linked Acc Trns LEE JL,2298.60,Internal transfers,,01 Sep 25
01 Sep 25,1026.15,100200300,,INTER-BANK CREDIT,MC BBS023 5550001X MCARE BENEFITS JORDAN LEE,1298.60,Refund,Medicare,01 Sep 25
29 Aug 25,-4000.00,100200300,,TRANSFER DEBIT,ONLINE T8850837346 Linked Acc Trns LEE JL,272.45,Internal transfers,,29 Aug 25
29 Aug 25,827.25,100200300,,INTER-BANK CREDIT,MC BBS429 5550001X MCARE BENEFITS JORDAN LEE,4272.45,Refund,Medicare,29 Aug 25
28 Aug 25,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE R3162370508,3445.20,Transfers out,,28 Aug 25
28 Aug 25,625.70,100200300,,INTER-BANK CREDIT,MC BBS748 5550001X MCARE BENEFITS JORDAN LEE,3745.20,Refund,Medicare,28 Aug 25
25 Aug 25,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE G8012144399,3119.50,Transfers out,,25 Aug 25
20 Aug 25,724.85,100200300,,INTER-BANK CREDIT,MC BBS616 5550001X MCARE BENEFITS JORDAN LEE,3319.50,Refund,Medicare,20 Aug 25
19 Aug 25,595.80,100200300,,INTER-BANK CREDIT,MC BBS860 5550001X MCARE BENEFITS JORDAN LEE,2594.65,Refund,Medicare,19 Aug 25
18 Aug 25,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE D3152734822,1998.85,Transfers out,,18 Aug 25
18 Aug 25,-28.80,100200300,,MISCELLANEOUS DEBIT,V1234 16/08 GRILL D WAGGA WAGGA WAGGA WAGG 15567157232,2498.85,Restaurants & takeaway,Grill'd (Wagga Wagga Marketplace),18 Aug 25
18 Aug 25,-27.30,100200300,,MISCELLANEOUS DEBIT,V1234 15/08 GRILL D WAGGA WAGGA WAGGA WAGG 42101444073,2527.65,Restaurants & takeaway,Grill'd (Wagga Wagga Marketplace),18 Aug 25
18 Aug 25,-30.20,100200300,,MISCELLANEOUS DEBIT,V1234 14/08 GRILL D WAGGA WAGGA WAGGA WAGG 94609390166,2554.95,Restaurants & takeaway,Grill'd (Wagga Wagga Marketplace),18 Aug 25
18 Aug 25,82.70,100200300,,INTER-BANK CREDIT,DV BBE087 5550001X VTA BENEFITS JORDAN LEE,2585.15,Government payments,Department of Veterans' Affairs,18 Aug 25
18 Aug 25,1158.15,100200300,,INTER-BANK CREDIT,MC BBS229 5550001X MCARE BENEFITS JORDAN LEE,2502.45,Refund,Medicare,18 Aug 25
15 Aug 25,-12.80,100200300,,MISCELLANEOUS DEBIT,V1234 14/08 WOOLWORTHS/30 GURWOOD ST WAGGA WAGG 92885133611,1344.30,Groceries,Woolworths (Wagga Wagga North),15 Aug 25
15 Aug 25,956.30,100200300,,INTER-BANK CREDIT,MC BBS409 5550001X MCARE BENEFITS JORDAN LEE,1357.10,Refund,Medicare,15 Aug 25
14 Aug 25,-5000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET J8243077379,400.80,Transfers out,,14 Aug 25
14 Aug 25,-50.00,100200300,,TRANSFER DEBIT,ONLINE F8301892424 Linked Acc Trns LEE JL,5400.80,Internal transfers,,14 Aug 25
13 Aug 25,821.05,100200300,,INTER-BANK CREDIT,MC BBS651 5550001X MCARE BENEFITS JORDAN LEE,5450.80,Refund,Medicare,13 Aug 25
12 Aug 25,82.70,100200300,,INTER-BANK CREDIT,DV BBE438 5550001X VTA BENEFITS JORDAN LEE,4629.75,Government payments,Department of Veterans' Affairs,12 Aug 25
12 Aug 25,1654.80,100200300,,INTER-BANK CREDIT,MC BBS678 5550001X MCARE BENEFITS JORDAN LEE,4547.05,Refund,Medicare,12 Aug 25
11 Aug 25,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE J2391994717,2892.25,Transfers out,,11 Aug 25
11 Aug 25,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE C4611160473,3092.25,Transfers out,,11 Aug 25
08 Aug 25,-100.00,100200300,,TRANSFER DEBIT,JORDAN LEE X2978984245,3392.25,Transfers out,,08 Aug 25
08 Aug 25,-100.00,100200300,,TRANSFER DEBIT,JORDAN LEE G8233545306,3492.25,Transfers out,,08 Aug 25
08 Aug 25,926.40,100200300,,INTER-BANK CREDIT,MC BBS642 5550001X MCARE BENEFITS JORDAN LEE,3592.25,Refund,Medicare,08 Aug 25
06 Aug 25,-400.00,100200300,,TRANSFER DEBIT,JORDAN LEE Y7536072468,2665.85,Transfers out,,06 Aug 25
05 Aug 25,165.40,100200300,,INTER-BANK CREDIT,DV BBE066 5550001X VTA BENEFITS JORDAN LEE,3065.85,Government payments,Department of Veterans' Affairs,05 Aug 25
05 Aug 25,661.80,100200300,,INTER-BANK CREDIT,MC BBS687 5550001X MCARE BENEFITS JORDAN LEE,2900.45,Refund,Medicare,05 Aug 25
04 Aug 25,-500.00,100200300,,TRANSFER DEBIT,JORDAN LEE P6959101132,2238.65,Transfers out,,04 Aug 25
04 Aug 25,959.70,100200300,,INTER-BANK CREDIT,MC BBS119 5550001X MCARE BENEFITS JORDAN LEE,2738.65,Refund,Medicare,04 Aug 25
01 Aug 25,628.65,100200300,,INTER-BANK CREDIT,MC BBS801 5550001X MCARE BENEFITS JORDAN LEE,1778.95,Refund,Medicare,01 Aug 25
31 Jul 25,-150.00,100200300,,TRANSFER DEBIT,JORDAN LEE T1276582712,1150.30,Transfers out,,31 Jul 25
28 Jul 25,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE Y3671366472,1300.30,Transfers out,,28 Jul 25
28 Jul 25,893.55,100200300,,INTER-BANK CREDIT,MC BBS448 5550001X MCARE BENEFITS JORDAN LEE,1600.30,Refund,Medicare,28 Jul 25
25 Jul 25,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE N5589351626,706.75,Transfers out,,25 Jul 25
25 Jul 25,727.95,100200300,,INTER-BANK CREDIT,MC BBS481 5550001X MCARE BENEFITS JORDAN LEE,906.75,Refund,Medicare,25 Jul 25
23 Jul 25,-450.00,100200300,,TRANSFER DEBIT,JORDAN LEE D0985827000,178.80,Transfers out,,23 Jul 25
23 Jul 25,628.80,100200300,,INTER-BANK CREDIT,MC BBS245 5550001X MCARE BENEFITS JORDAN LEE,628.80,Refund,Medicare,23 Jul 25
22 Jul 25,-694.80,100200300,,TRANSFER DEBIT,ONLINE Y2244734382 Linked Acc Trns LEE JL,0.00,Internal transfers,,22 Jul 25
22 Jul 25,694.80,100200300,,INTER-BANK CREDIT,MC BBS723 5550001X MCARE BENEFITS JORDAN LEE,694.80,Refund,Medicare,22 Jul 25
21 Jul 25,-300.00,100200300,,TRANSFER DEBIT,JORDAN LEE W6025560653,0.00,Transfers out,,21 Jul 25
21 Jul 25,-2694.45,100200300,,TRANSFER DEBIT,ONLINE H2547477115 Linked Acc Trns LEE JL,300.00,Internal transfers,,21 Jul 25
21 Jul 25,860.85,100200300,,INTER-BANK CREDIT,MC BBS483 5550001X MCARE BENEFITS JORDAN LEE,2994.45,Refund,Medicare,21 Jul 25
16 Jul 25,827.10,100200300,,INTER-BANK CREDIT,MC BBS962 5550001X MCARE BENEFITS JORDAN LEE,2133.60,Refund,Medicare,16 Jul 25
15 Jul 25,-150.00,100200300,,TRANSFER DEBIT,JORDAN LEE A1355487093,1306.50,Transfers out,,15 Jul 25
15 Jul 25,231.75,100200300,,INTER-BANK CREDIT,MC BBS072 5550001X MCARE BENEFITS JORDAN LEE,1456.50,Refund,Medicare,15 Jul 25
14 Jul 25,562.80,100200300,,INTER-BANK CREDIT,MC BBS754 5550001X MCARE BENEFITS JORDAN LEE,1224.75,Refund,Medicare,14 Jul 25
11 Jul 25,661.95,100200300,,INTER-BANK CREDIT,MC BBS350 5550001X MCARE BENEFITS JORDAN LEE,661.95,Refund,Medicare,11 Jul 25
10 Jul 25,-200.00,100200300,,TRANSFER DEBIT,JORDAN LEE D2474480054,0.00,Transfers out,,10 Jul 25
10 Jul 25,200.00,100200300,,TRANSFER CREDIT,ONLINE R7415096236 Linked Acc Trns LEE JL,200.00,Internal transfers,,10 Jul 25
09 Jul 25,-570.95,100200300,,TRANSFER DEBIT,ONLINE Z3034744520 Linked Acc Trns LEE JL,0.00,Internal transfers,,09 Jul 25
09 Jul 25,41.45,100200300,,INTER-BANK CREDIT,DV BBE971 5550001X VTA BENEFITS JORDAN LEE,570.95,Government payments,Department of Veterans' Affairs,09 Jul 25
09 Jul 25,529.50,100200300,,INTER-BANK CREDIT,MC BBS065 5550001X MCARE BENEFITS JORDAN LEE,529.50,Refund,Medicare,09 Jul 25
08 Jul 25,-4000.00,100200300,,TRANSFER DEBIT,CASEY LEE OFFSET H6223934637,0.00,Transfers out,,08 Jul 25
08 Jul 25,-529.35,100200300,,TRANSFER DEBIT,ONLINE Y9953505251 Linked Acc Trns LEE JL,4000.00,Internal transfers,,08 Jul 25
08 Jul 25,4000.00,100200300,,TRANSFER CREDIT,ONLINE T9646881638 Linked Acc Trns LEE JL,4529.35,Internal transfers,,08 Jul 25
